,poem
Ты имеешь?» — «Да на свете,
Говорят, царевна есть,
Что не можно глаз отвесть.
Днем свет божий затмевает,
Ночью землю освещает —
Месяц под косой блестит,
А во лбу звезда горит.
А сама-то величава,
Выступает, будто пава;
Сладку речь-то говорит,
Будто реченька журчит.
Только, полно, правда ль это?»
Князь со страхом ждет ответа.
Лебедь белая молчит
И, подумав, говорит:
«Да! такая есть девица.
Но жена не рукавица:
С белой ручки не стряхнешь
Да за пояс не заткнешь.
Услужу тебе советом —
Слушай: обо всем об этом
Пораздумай ты путем,
Не раскаяться б потом».
Князь пред нею стал божиться,
Что пора ему жениться,
Что об этом обо всем
Передумал он путем;
Что готов душою страстной
За царевною прекрасной
Он пешком идти отсель
Хоть за тридевять земель.
Лебедь тут, вздохнув глубоко,
Молвила: «Зачем далёко?
Знай, близка судьба твоя,
Ведь царевна эта — я».
Тут она, взмахнув крылами,
Полетела над волнами
И на берег с высоты
Опустилася в кусты,
Встрепенулась, отряхнулась
И царевной обернулась:
Месяц под косой блестит,
А во лбу звезда горит;
А сама-то величава,
Выступает, будто пава;
А как речь-то говорит,
Словно реченька журчит.
Князь царевну обнимает,
К белой груди прижимает
И ведет ее скорей
К милой матушке своей.
Князь ей в ноги, умоляя:
«Государыня-родная!
Выбрал я жену себе,
Дочь послушную тебе.
Просим оба разрешенья,
Твоего благословенья:
Ты детей благослови
Жить в совете и любви».
Над главою их покорной
Мать с иконой чудотворной
Слезы льет и говорит:
«Бог вас, дети, наградит».
Князь не долго собирался,
Па царевне обвенчался;
Стали жить да поживать,
Да приплода поджидать.
Ветер по морю гуляет
И кораблик подгоняет;
Он бежит себе в волнах
На раздутых парусах
Мимо острова крутого,
Мимо города большого;
Пушки с пристани палят,
Кораблю пристать велят.
Пристают к заставе гости.
Князь Гвидон зовет их в гости.
Он их кормит, и поит,
И ответ держать велит:
«Чем вы, гости, торг ведете
И куда теперь плывете?»
Корабельщики в ответ:
«Мы объехали весь свет,
Торговали мы недаром
Неуказанным товаром;
А лежит нам путь далек:
Восвояси на восток,
Мимо острова Буяна,
В царство славного Салтана».
Князь им вымолвил тогда:
«Добрый путь вам, господа,
По морю по Окияну
К славному царю Салтану;
Да напомните ему,
Государю своему:
К нам он в гости обещался,
А доселе пе собрался —
Шлю ему я свой поклон».
Гости в путь, а князь Гвидон
Дома на сей раз остался
И с женою не расстался.
Ветер весело шумит,
Судно весело бежит
Мимо острова Буяна,
К царству славного Салтана,
И знакомая страна
Вот уж издали видна.
Вот на берег вышли гости.
Царь Салтан зовет их в гости,
Гости видят: во дворце
Царь сидит в своем венце.
А ткачиха с поварихой,
С сватьей бабой Бабарихой
Около царя сидят,
Четырьмя все три глядят.
Царь Салтан гостей сажает
За CBoii стол и вопрошает:
«Ой вы, гости-господа,
Долго ль ездили? куда?
Ладно ль за морем иль худо?
И какое в свете чудо?»
Корабельщики в ответ:
«Мы объехали весь свет;
За морем житье не худо,
В свете я; вот какое чудо:
Остров на море лежит,
Град на острове стоит,
С златоглавыми церквами,
С теремами и садами,
Ель растет перед дворцом,
А под ней хрустальный дом:
Белка в нем живет ручная,
Да чудесница какая!
Белка песенки поет
Да орешки всё грызет;
А орешки не простые,
Скорлупы-то золотые.
Ядра — чистый изумруд;
Белку холят, берегут.
Там еще другое диво:
Море вздуется бурливо,
Закипит, подымет вон,
Хлынет на берег пустой,
Расплеснется в скором беге,
И очутятся на бреге,
В чешуе, как жар горя,
Тридцать три богатыря,
Все красавцы удалые,
Великаны молодые,
Все равны, как на подбор —
С ними дядька Черномор.
И той стражи нет надежней,
Ни храбрее, ни прилежней.
А у князя женка есть,
Что не можно глаз отвесть:
Днем свет божий затмевает,
Ночью землю освещает;
Месяц под косой блестит,
А во лбу звезда горит.
Князь Гвидон тот город правит,
Всяк его усердно славит;
Он прислал тебе поклон,
Да тебе пеняет он:
К нам-де в гости обещался,
А доселе не собрался».
Тут уж царь не утерпел,
Снарядить он флот велел.
А ткачиха с поварихой,
О сватьей бабой Бабарихой
Не хотят царя пустить
Чудный остров навестить.
Но Салтан им не внимает
И как раз их унимает:
«Что я? царь или дитя? —
Говорит он не шутя,—
Нынче ж еду!» — Тут он топнул,
Вышел вон и дверью хлопнул.
Под окном Гвидон сидит,
Молча на море глядит:
Не шумит оно, не хлещет,
Лишь едва-едва трепещет.
И в лазоревой дали
Показались корабли:
По равнинам Окияна
Едет флот царя Салтана.
Князь Гвидон тогда вскочил,
Громогласно возопил: ‘
«Матушка моя родная!
Ты, княгиня молодая!
Посмотрите вы туда:
Едет батюшка сюда».
Флот уж к острову подходит.
Князь Гвидон трубу наводит:
Царь на палубе стоит
И в трубу на них глядит;
С ним ткачиха с поварихой,
С сватьей бабой Бабарихой;
Удивляются оне
Незнакомой стороне.
Разом пушки запалили;
В колокольнях зазвонили;
К морю сам идет Гвидон;
Там царя встречает он
С поварихой и ткачихой,
С сватьей бабой Бабарихой;
В город он повел даря,
Ничего не говоря.
Все теперь идут в палаты:
У ворот блистают латы,
И стоят в глазах царя
Тридцать три богатыря,
Все красавцы молодые,
Великаны удалые,
Все равны, как на подбор,
С ними дядька Черномор.
Царь ступил на двор широкий:
Там под елкою высокой
Белка песенку поет,
Золотой орех грызет,
Изумрудец вынимает
И в мешочек опускает;
И засеян двор большой
Золотою скорлупой.
Гости дале — торопливо
Смотрят — что ж? княгиня — диво
Под косой луна блестит,
А во лбу звезда горит:
А сама-то величава,
Выступает, будто пава,
И свекровь свою ведет.
Царь глядит — и узнает…
В нем взыграло ретивое!
«Что я вижу? что такое?
Как!» — и дух в нем занялся…
Царь слезами залился,
Обнимает он царицу,
И сынка, и молодицу,
И садятся все за стол;
И веселый пир пошел.
А ткачиха с поварихой,
С сватьей бабой Бабарихой
Разбежались по углам;
Их нашли насилу там.
Тут во всем они признались,
Повинились, разрыдались;
Царь для радости такой
Отпустил всех трех домой.
День прошел — царя Салтана
Уложили спать вполпьяна.
Я там был; мед, пиво пил —
И усы лишь обмочил.
1831 г.


var "
129,"

Жил-был поп,
Толоконный лоб.
Пошел поп по базару
Посмотреть кой-какого товару.
Навстречу ему Балда
Идет, сам не зная куда.
«Что, батько, так рано поднялся?
Чего ты взыскался?»
Поп ему в ответ: «Нужен мне работник:
Повар, конюх и плотник.
А где найти мне такого
Служителя не слишком дорогого?»
Балда говорит: «Буду служить тебе славно,
Усердно и очень исправно,
В год за три щелка тебе по лбу,
Есть же мне давай вареную полбу».
Призадумался поп,
Стал себе почесывать лоб.
Щелк щелку ведь розь.
Да понадеялся он на русский авось.
Поп говорит Балде: «Ладно.
Не будет нам обоим накладно.
Поживи-ка на моем подворье,
Покажи свое усердие и проворье».
Живет Балда в поповом доме,
Спит себе на соломе,
Ест за четверых,
Работает за семерых;
До светла всё у него пляшет,
Лошадь запряжет, полосу вспашет,
Печь затопит, всё заготовит, закупит,
Яичко испечет да сам и облупит.
Попадья Балдой не нахвалится,
Поповна о Балде лишь и печалится,
Попевок зовет его тятей;
Кашу заварит, нянчится с дитятей.
Только поп один Балду не любит,
Никогда его не приголубит,
О расплате думает частенько;
Время идет, и срок уж близенько.
Поп ни ест, ни пьет, ночи не спит:
Лоб у него заране трещит.
Вот он попадье признается:
«Так и так: что делать остается?»
Ум у бабы догадлив,
На всякие хитрости повадлив.
Попадья говорит: «Знаю средство,
Как удалить от нас такое бедство:
Закажи Балде службу, чтоб стало ему невмочь;
А требуй, чтоб он ее исполнил точь-в-точь.
Тем ты и лоб от расправы избавишь
И Балду-то без расплаты отправишь».
Стало на сердце попа веселее,
Начал он глядеть на Балду посмелее.
Вот он кричит: «Поди-ка сюда,
Верный мой работник Балда.
Слушай: платить обязались черти
Мне оброк по самой моей смерти;
Лучшего б не надобно дохода,
Да есть на них недоимки за три года.
Как наешься ты своей полбы,
Собери-ка с чертей оброк мне полный».
Балда, с попом понапрасну не споря,
Пошел, сел у берега моря;
Там он стал веревку крутить
Да конец ее в море мочить.
Вот пз моря вылез старый Бес:
«Зачем ты, Балда, к нам залез?»
— «Да вот веревкой хочу море морщить
Да вас, проклятое племя, корчить»,
Беса старого взяла тут унылость.
«Скажи, за что такая немилость?»
— «Как за что? Вы не плотите оброка,
Не помните положенного срока;
Вот ужо будет нам потеха,
Вам, собакам, великая помеха».
— «Балдушка, погоди ты морщить море,
Оброк сполна ты получишь вскоре.
Погоди, вышлю к тебе внука».
Балда мыслит: «Этого провести не штука!»
Вынырнул подосланный бесенок,
Замяукал он, как голодный котенок:
«Здравствуй, Балда-мужичок;
Какой тебе надобен оброк?
Об оброке век мы не слыхали,
Не было чертям такой печали.
Ну, так и быть — возьми, да с уговору,
С общего нашего приговору —
Чтобы впредь не было никому горя:
Кто скорее из нас обежит около моря,
Тот и бери себе полный оброк,
Между тем там приготовят мешок».
Засмеялся Балда лукаво:
«Что ты это выдумал, право?
Где тебе тягаться со мною,
Со мною, с самим Балдою?
Экого послали супостата!
Подожди-ка моего меньшего брата».
Пошел Балда в ближний лесок,
Поймал двух зайков да в мешок.
К морю опять он приходит,
У моря бесенка находит.
Держит Балда за уши одного зайку:
«Попляши-ка ты под нашу балалайку;
Ты, бесенок, еще молоденек,
Со мною тягаться слабенек;
Это было б лишь времени трата.
Обгони-ка сперва моего брата.
Раз, два, три! догоняй-ка».
Пустились бесенок и зайка:
Бесенок по берегу морскому,
А зайка в лесок до дому.
Вот, море кругом обежавши,
Высунув язык, мордку поднявши,
Прибежал бесенок задыхаясь,
Весь мокрешенек, лапкой утираясь,
Мысля: дело с Балдою сладит.
Глядь — а Балда братца гладит,
Приговаривая: «Братец мой любимый,
Устал, бедняжка! отдохни, родимый».
Бесенок оторопел,
Хвостик поджал, совсем присмирел,
На братца поглядывает боком.
«Погоди,— говорит,— схожу за оброком»
Пошел к деду, говорит: «Беда!
Обогнал меня меньшой Балда!»
Старый Бес стал тут думать думу,
А Балда наделал такого шуму,
Что всё море смутилось
И волнами так и расходилось.
Вылез бесенок: «Полно, мужичок,
Вышлем тебе весь оброк —
Только слушай. Видишь ты палку эту?
Выбери себе любимую мету.
Кто далее палку бросит,
Тот пускай и оброк уносит.
Что ж? боишься вывихнуть ручки?
Чего ты ждешь?» — «Да жду вон этой тучки:
Зашвырну туда твою палку,
Да и начну с вами, чертями, свалку».
Испугался бесенок да к деду,
Рассказывать про Балдову победу,
А Балда над морем опять шумит
Да чертям веревкой грозит.
Вылез опять бесенок: «Что ты хлопочешь?
Будет тебе оброк, коли захочешь…»
— «Нет,— говорит Балда,—
Теперь моя череда,
Условия сам назначу,
Задам тебе, враженок, задачу.
Посмотрим, какова у тебя сила.
Видишь: там сивая кобыла?
Кобылу подыми-ка ты,
Да неси ее полверсты;
Снесешь кобылу, оброк уж твой;
Не снесешь кобылы, ан будет он мой».
Бедненький бес
Под кобылу подлез,
Понатужился,
Понапружился,
Приподнял кобылу, два шага шагнул,
На третьем упал, ножки протянул.
А Балда ему: «Глупый ты бес,
Куда ж ты за нами полез?
И руками-то снести не смог,
А я, смотри, снесу промеж ног».
Сел Балда на кобылку верхом
Да версту проскакал, так что пыль столбом.
Испугался бесенок и к деду
Пошел рассказывать про такую победу.
Черти стали в кружок,
Делать нечего — собрали полный оброк
Да на Балду взвалили мешок.
Идет Балда, покрякивает,
А поп, завидя Балду, вскакивает,
За попадью прячется,
Со страху корячится.
Балда его тут отыскал,
Отдал оброк, платы требовать стал.
Бедный поп
Подставил лоб:
С первого щелка
Прыгнул поп до потолка;
Со второго щелка
Лишился поп языка^
А с третьего щелка
Вышибло ум у старика.
А Балда приговаривал с укоризной:
«Не гонялся бы ты, поп, за дешевизной».
1831 г.


var "
130,"

Перед гробницею святой 1
Стою с поникшею главой…
Все спит кругом; одни лампады
Во мраке храма золотят
Столпов гранитные громады
И их знамен нависший ряд.
Под ними спит сей властелин,
Сей идол северных дружин,
Маститый страж страны державной,
Смиритель всех ее врагов,
Сей остальной из стаи славной
Екатерининских орлов.
В твоем гробу восторг живет!
Он русский глас нам издает;
Он нам твердит о той године,
Когда народной веры глас
Воззвал к святой твоей седине:
«Иди, спасай!» Ты встал — и спас…
Внемли ж и днесь наш верный глас,
Встань и спасай царя и нас,
О старец грозный! На мгновенье
Явись у двери гробовой,
Явись, вдохни восторг и рвенье
Полкам, оставленным тобой!
Явись и дланию своей
Нам укажи в толпе вождей,
Кто твой наследник, твой избранный!
Но храм — в молчанье погружен,
И тих твоей могилы бранной
Невозмутимый, вечный сон…
1 Гробница Кутузова в Казанском соборе в Петербурге.
1831 г.


var "
131,"

О чем шумите вы, народные витии?
Зачем анафемой грозите вы России?
Что возмутило вас? волнения Литвы?
Оставьте: это спор славян между собою,
Домашний, старый спор, уж взвешенный судьбою,
Вопрос, которого не разрешите вы.
Уже давно между собою
Враждуют эти племена;
Не раз клонилась под грозою
То их, то наша сторона.
Кто устоит в неравном споре:
Кичливый лях иль верный росс?
Славянские ль ручьи сольются в русском море?
Оно ль иссякнет? вот вопрос.
Оставьте нас: вы не читали
Сии кровавые скрижали;
Вам непонятна, вам чужда
Сия семейная вражда;
Для вас безмолвны Кремль и Прага;
Бессмысленно прельщает вас
Борьбы отчаянной отвага —
И ненавидите вы нас…
За что ж? ответствуйте: за то ли,
Что на развалинах пылающей Москвы
Мы не признали наглой воли
Того, под кем дрожали вы?
За то ль, что в бездну повалили
Мы тяготеющий над царствами кумир
И нашей кровью искупили
Европы вольность, честь и мир?
Вы грозны на словах — попробуйте на деле!
Иль старый богатырь, покойный на постеле,
Не в силах завинтить свой измаильский штык?
Иль русского царя уже бессильно слово?
Иль нам с Европой спорить ново?
Иль русский от побед отвык?
Иль мало нас? Или от Перми до Тавриды,
От финских хладных скал до пламенной Колхиды,
От потрясенного Кремля
До стен недвижного Китая,
Стальной щетиною сверкая,
Не встанет русская земля?..
Так высылайте ж нам, витии,
Своих озлобленных сыпов:
Есть место им в полях России,
Среди нечуждых им гробов.
1831 г.


var "
132,"

Слушать аудиокнигу:

Короткий пересказ романа:

Роман в стихах
P?tri de vanit?il avait encore plus de cette esp?ce d’orgueil quifait avouer avec la m?me indiff?rence lesbonnes comme les mauvaises actions, suite d’un sentiment desup?riorit? peut-?tre imaginaire.
Tir? d’une lettreparticuli?re.

(Проникнутый тщеславием, он обладал еще той особенной гордостью, которая побуждает признаваться с одинаковым равнодушием как в своих добрых, так и дурных поступках, — следствие чувства превосходства, быть может мнимого. Из частного письма (франц.).)

Не мысля гордый свет забавить,
Вниманье дружбы возлюбя,
Хотел бы я тебе представить
Залог достойнее тебя,
Достойнее души прекрасной,
Святой исполненной мечты,
Поэзии живой и ясной,
Высоких дум и простоты;
Но так и быть — рукой пристрастной
Прими собранье пестрых глав,
Полусмешных, полупечальных,
Простонародных, идеальных,
Небрежный плод моих забав,
Бессонниц, легких вдохновений,
Незрелых и увядших лет,
Ума холодных наблюдений
И сердца горестных замет.



Глава первая
И жить торопится, и чувствовать спешит.

Кн. Вяземский.



I
«Мой дядя самых честных правил,
Когда не в шутку занемог,
Он уважать себя заставил
И лучше выдумать не мог.
Его пример другим наука;
Но, боже мой, какая скука
С больным сидеть и день и ночь,
Не отходя ни шагу прочь!
Какое низкое коварство
Полуживого забавлять,
Ему подушки поправлять,
Печально подносить лекарство,
Вздыхать и думать про себя:
Когда же черт возьмет тебя!»

II
Так думал молодой повеса,
Летя в пыли на почтовых,
Всевышней волею Зевеса
Наследник всех своих родных.
Друзья Людмилы и Руслана!
С героем моего романа
Без предисловий, сей же час
Позвольте познакомить вас:
Онегин, добрый мой приятель,
Родился на брегах Невы,
Где, может быть, родились вы
Или блистали, мой читатель;
Там некогда гулял и я:
Но вреден север для меня [1].

III
Служив отлично благородно,
Долгами жил его отец,
Давал три бала ежегодно
И промотался наконец.
Судьба Евгения хранила:
Сперва Madame за ним ходила,
Потом Monsieur ее сменил.
Ребенок был резов, но мил.
Monsieur l’Abb?, француз убогой,
Чтоб не измучилось дитя,
Учил его всему шутя,
Не докучал моралью строгой,
Слегка за шалости бранил
И в Летний сад гулять водил.

IV
Когда же юности мятежной
Пришла Евгению пора,
Пора надежд и грусти нежной,
Monsieur прогнали со двора.
Вот мой Онегин на свободе;
Острижен по последней моде,
Как dandy [2] лондонский одет —
И наконец увидел свет.
Он по-французски совершенно
Мог изъясняться и писал;
Легко мазурку танцевал
И кланялся непринужденно;
Чего ж вам больше? Свет решил,
Что он умен и очень мил.

V
Мы все учились понемногу
Чему-нибудь и как-нибудь,
Так воспитаньем, слава богу,
У нас немудрено блеснуть.
Онегин был по мненью многих
(Судей решительных и строгих)
Ученый малый, но педант:
Имел он счастливый талант
Без принужденья в разговоре
Коснуться до всего слегка,
С ученым видом знатока
Хранить молчанье в важном споре
И возбуждать улыбку дам
Огнем нежданных эпиграмм.

VI
Латынь из моды вышла ныне:
Так, если правду вам сказать,
Он знал довольно по-латыне,
Чтоб эпиграфы разбирать,
Потолковать об Ювенале,
В конце письма поставить vale,
Да помнил, хоть не без греха,
Из Энеиды два стиха.
Он рыться не имел охоты
В хронологической пыли
Бытописания земли:
Но дней минувших анекдоты
От Ромула до наших дней
Хранил он в памяти своей.

VII
Высокой страсти не имея
Для звуков жизни не щадить,
Не мог он ямба от хорея,
Как мы ни бились, отличить.
Бранил Гомера, Феокрита;
Зато читал Адама Смита
И был глубокой эконом,
То есть умел судить о том,
Как государство богатеет,
И чем живет, и почему
Не нужно золота ему,
Когда простой продукт имеет.
Отец понять его не мог
И земли отдавал в залог.

VIII
Всего, что знал еще Евгений,
Пересказать мне недосуг;
Но в чем он истинный был гений,
Что знал он тверже всех наук,
Что было для него измлада
И труд, и мука, и отрада,
Что занимало целый день
Его тоскующую лень, —
Была наука страсти нежной,
Которую воспел Назон,
За что страдальцем кончил он
Свой век блестящий и мятежный
В Молдавии, в глуши степей,
Вдали Италии своей.

IX
 ………………………………………………..
 ………………………………………………..
 ………………………………………………..
 
X
Как рано мог он лицемерить,
Таить надежду, ревновать,
Разуверять, заставить верить,
Казаться мрачным, изнывать,
Являться гордым и послушным,
Внимательным иль равнодушным!
Как томно был он молчалив,
Как пламенно красноречив,
В сердечных письмах как небрежен!
Одним дыша, одно любя,
Как он умел забыть себя!
Как взор его был быстр и нежен,
Стыдлив и дерзок, а порой
Блистал послушною слезой!

XI
Как он умел казаться новым,
Шутя невинность изумлять,
Пугать отчаяньем готовым,
Приятной лестью забавлять,
Ловить минуту умиленья,
Невинных лет предубежденья
Умом и страстью побеждать,
Невольной ласки ожидать,
Молить и требовать признанья,
Подслушать сердца первый звук,
Преследовать любовь, и вдруг
Добиться тайного свиданья…
И после ей наедине
Давать уроки в тишине!

XII
Как рано мог уж он тревожить
Сердца кокеток записных!
Когда ж хотелось уничтожить
Ему соперников своих,
Как он язвительно злословил!
Какие сети им готовил!
Но вы, блаженные мужья,
С ним оставались вы друзья:
Его ласкал супруг лукавый,
Фобласа давний ученик,
И недоверчивый старик,
И рогоносец величавый,
Всегда довольный сам собой,
Своим обедом и женой.

XIII. XIV
 ………………………………………………..
 ………………………………………………..
 ………………………………………………..
 
XV
Бывало, он еще в постеле:
К нему записочки несут.
Что? Приглашенья? В самом деле,
Три дома на вечер зовут:
Там будет бал, там детский праздник.
Куда ж поскачет мой проказник?
С кого начнет он? Все равно:
Везде поспеть немудрено.
Покамест в утреннем уборе,
Надев широкий боливар [3],
Онегин едет на бульвар
И там гуляет на просторе,
Пока недремлющий брегет
Не прозвонит ему обед.

XVI
Уж тёмно: в санки он садится.
«Пади, пади!» — раздался крик;
Морозной пылью серебрится
Его бобровый воротник.
К Talon [4] помчался: он уверен,
Что там уж ждет его Каверин.
Вошел: и пробка в потолок,
Вина кометы брызнул ток;
Пред ним roast-beef окровавленный,
И трюфли, роскошь юных лет,
Французской кухни лучший цвет,
И Страсбурга пирог нетленный
Меж сыром лимбургским живым
И ананасом золотым.

XVII
Еще бокалов жажда просит
Залить горячий жир котлет,
Но звон брегета им доносит,
Что новый начался балет.
Театра злой законодатель,
Непостоянный обожатель
Очаровательных актрис,
Почетный гражданин кулис,
Онегин полетел к театру,
Где каждый, вольностью дыша,
Готов охлопать entrechat,
Обшикать Федру, Клеопатру,
Моину вызвать (для того,
Чтоб только слышали его).

XVIII
Волшебный край! там в стары годы,
Сатиры смелый властелин,
Блистал Фонвизин, друг свободы,
И переимчивый Княжнин;
Там Озеров невольны дани
Народных слез, рукоплесканий
С младой Семеновой делил;
Там наш Катенин воскресил
Корнеля гений величавый;
Там вывел колкий Шаховской
Своих комедий шумный рой,
Там и Дидло венчался славой,
Там, там под сению кулис
Младые дни мои неслись.

XIX
Мои богини! что вы? где вы?
Внемлите мой печальный глас:
Всё те же ль вы? другие ль девы,
Сменив, не заменили вас?
Услышу ль вновь я ваши хоры?
Узрю ли русской Терпсихоры
Душой исполненный полет?
Иль взор унылый не найдет
Знакомых лиц на сцене скучной,
И, устремив на чуждый свет
Разочарованный лорнет,
Веселья зритель равнодушный,
Безмолвно буду я зевать
И о былом воспоминать?

XX
Театр уж полон; ложи блещут;
Партер и кресла — все кипит;
В райке нетерпеливо плещут,
И, взвившись, занавес шумит.
Блистательна, полувоздушна,
Смычку волшебному послушна,
Толпою нимф окружена,
Стоит Истомина; она,
Одной ногой касаясь пола,
Другою медленно кружит,
И вдруг прыжок, и вдруг летит,
Летит, как пух от уст Эола;
То стан совьет, то разовьет
И быстрой ножкой ножку бьет.

XXI
Все хлопает. Онегин входит,
Идет меж кресел по ногам,
Двойной лорнет скосясь наводит
На ложи незнакомых дам;
Все ярусы окинул взором,
Всё видел: лицами, убором
Ужасно недоволен он;
С мужчинами со всех сторон
Раскланялся, потом на сцену
В большом рассеянье взглянул,
Отворотился — и зевнул,
И молвил: «Всех пора на смену;
Балеты долго я терпел,
Но и Дидло мне надоел» [5].

XXII
Еще амуры, черти, змеи
На сцене скачут и шумят;
Еще усталые лакеи
На шубах у подъезда спят;
Еще не перестали топать,
Сморкаться, кашлять, шикать, хлопать;
Еще снаружи и внутри
Везде блистают фонари;
Еще, прозябнув, бьются кони,
Наскуча упряжью своей,
И кучера, вокруг огней,
Бранят господ и бьют в ладони —
А уж Онегин вышел вон;
Домой одеться едет он.

XXIII
Изображу ль в картине верной
Уединенный кабинет,
Где мод воспитанник примерный
Одет, раздет и вновь одет?
Все, чем для прихоти обильной
Торгует Лондон щепетильный
И по Балтическим волнам
За лес и сало возит нам,
Все, что в Париже вкус голодный,
Полезный промысел избрав,
Изобретает для забав,
Для роскоши, для неги модной, —
Все украшало кабинет
Философа в осьмнадцать лет.

XXIV
Янтарь на трубках Цареграда,
Фарфор и бронза на столе,
И, чувств изнеженных отрада,
Духи в граненом хрустале;
Гребенки, пилочки стальные,
Прямые ножницы, кривые
И щетки тридцати родов
И для ногтей и для зубов.
Руссо (замечу мимоходом)
Не мог понять, как важный Грим
Смел чистить ногти перед ним,
Красноречивым сумасбродом [6].
Защитник вольности и прав
В сем случае совсем неправ.

XXV
Быть можно дельным человеком
И думать о красе ногтей:
К чему бесплодно спорить с веком?
Обычай деспот меж людей.
Второй Чадаев, мой Евгений,
Боясь ревнивых осуждений,
В своей одежде был педант
И то, что мы назвали франт.
Он три часа по крайней мере
Пред зеркалами проводил
И из уборной выходил
Подобный ветреной Венере,
Когда, надев мужской наряд,
Богиня едет в маскарад.

XXVI
В последнем вкусе туалетом
Заняв ваш любопытный взгляд,
Я мог бы пред ученым светом
Здесь описать его наряд;
Конечно б это было смело,
Описывать мое же дело:
Но панталоны, фрак, жилет,
Всех этих слов на русском нет;
А вижу я, винюсь пред вами,
Что уж и так мой бедный слог
Пестреть гораздо б меньше мог
Иноплеменными словами,
Хоть и заглядывал я встарь
В Академический словарь.

XXVII
У нас теперь не то в предмете:
Мы лучше поспешим на бал,
Куда стремглав в ямской карете
Уж мой Онегин поскакал.
Перед померкшими домами
Вдоль сонной улицы рядами
Двойные фонари карет
Веселый изливают свет
И радуги на снег наводят;
Усеян плошками кругом,
Блестит великолепный дом;
По цельным окнам тени ходят,
Мелькают профили голов
И дам и модных чудаков.

XXVIII
Вот наш герой подъехал к сеням;
Швейцара мимо он стрелой
Взлетел по мраморным ступеням,
Расправил волоса рукой,
Вошел. Полна народу зала;
Музыка уж греметь устала;
Толпа мазуркой занята;
Кругом и шум и теснота;
Бренчат кавалергарда шпоры;
Летают ножки милых дам;
По их пленительным следам
Летают пламенные взоры,
И ревом скрыпок заглушен
Ревнивый шепот модных жен.

XXIX
Во дни веселий и желаний
Я был от балов без ума:
Верней нет места для признаний
И для вручения письма.
О вы, почтенные супруги!
Вам предложу свои услуги;
Прошу мою заметить речь:
Я вас хочу предостеречь.
Вы также, маменьки, построже
За дочерьми смотрите вслед:
